ID	Sex	Population	Genes	Expression
FL35	F	east	379	-5.735719191
FL35	F	east	203	-5.533046093
FL35	F	east	C2	-4.797300863
FL35	F	east	C4	-4.461948949
FL35	F	east	C5	-4.423890721
FL35	F	east	C7	-4.766740327
FL72	F	east	379	-6.214008744
FL72	F	east	203	-6.369840739
FL72	F	east	C2	-4.725838335
FL72	F	east	C4	-4.45900126
FL72	F	east	C5	-4.45900126
FL72	F	east	C7	-5.020991135
FL74	F	east	379	-4.85791212
FL74	F	east	203	-4.593920819
FL74	F	east	C2	-2.652108408
FL74	F	east	C4	-2.614835069
FL74	F	east	C5	-2.897359019
FL74	F	east	C7	-2.841117045
FL75	F	east	379	-6.139628719
FL75	F	east	203	-6.30501221
FL75	F	east	C2	-4.835978452
FL75	F	east	C4	-4.340078509
FL75	F	east	C5	-4.439757335
FL75	F	east	C7	-4.867258135
FL79	F	east	379	-4.397748943
FL79	F	east	203	-4.181319518
FL79	F	east	C2	-3.013538366
FL79	F	east	C4	-2.774676918
FL79	F	east	C5	-3.176729679
FL79	F	east	C7	-2.977623703
FL05	M	east	379	-6.002422603
FL05	M	east	203	-6.184092593
FL05	M	east	C2	-4.942582979
FL05	M	east	C4	-4.788668325
FL05	M	east	C5	-4.254581157
FL05	M	east	C7	-4.713543842
FL11	M	east	379	-5.574368472
FL11	M	east	203	-5.673675429
FL11	M	east	C2	-5.380590355
FL11	M	east	C4	-4.408680454
FL11	M	east	C5	-4.284960591
FL11	M	east	C7	-4.727556584
FL17	M	east	379	-5.628549203
FL17	M	east	203	-5.858297821
FL17	M	east	C2	-4.670523525
FL17	M	east	C4	-4.39558167
FL17	M	east	C5	-4.417743068
FL17	M	east	C7	-4.631925578
FL41	M	east	379	-6.170613231
FL41	M	east	203	-6.336171269
FL41	M	east	C2	-1.866386011
FL41	M	east	C4	-1.764884198
FL41	M	east	C5	-2.231335005
FL41	M	east	C7	-1.705032614
FL81	M	east	379	-2.375201315
FL81	M	east	203	-2.361145463
FL81	M	east	C2	-1.863910385
FL81	M	east	C4	-2.143275639
FL81	M	east	C5	-2.284843933
FL81	M	east	C7	-2.146308975
C135	F	west	379	-4.9980448
C135	F	west	203	-4.661108179
C135	F	west	C2	-3.549622518
C135	F	west	C4	-3.491530955
C135	F	west	C5	-3.49355758
C135	F	west	C7	-3.808226581
C143	F	west	379	-5.912708123
C143	F	west	203	-6.011595553
C143	F	west	C2	-3.129268379
C143	F	west	C4	-3.161963867
C143	F	west	C5	-2.919258931
C143	F	west	C7	-3.541278477
C181	F	west	379	-6.096134568
C181	F	west	203	-5.961230656
C181	F	west	C2	-3.533716765
C181	F	west	C4	-3.021525346
C181	F	west	C5	-2.72913851
C181	F	west	C7	-3.408580139
C61	F	west	379	-6.466447355
C61	F	west	203	-6.528078288
C61	F	west	C2	-4.015140373
C61	F	west	C4	-3.599654542
C61	F	west	C5	-3.003909645
C61	F	west	C7	-3.736649866
C118	M	west	379	-5.391739046
C118	M	west	203	-5.681676093
C118	M	west	C2	-3.306776456
C118	M	west	C4	-3.051349462
C118	M	west	C5	-2.737227453
C118	M	west	C7	-3.67610215
C56	M	west	379	-5.674712139
C56	M	west	203	-5.678425865
C56	M	west	C2	-1.938361607
C56	M	west	C4	-1.634777133
C56	M	west	C5	-1.544554489
C56	M	west	C7	-2.043918586
C63	M	west	379	-4.775827559
C63	M	west	203	-4.821149983
C63	M	west	C2	-3.699524256
C63	M	west	C4	-3.497544754
C63	M	west	C5	-3.943897919
C63	M	west	C7	-3.739939639
C67	M	west	379	-6.036459685
C67	M	west	203	-6.372880893
C67	M	west	C2	-3.815332331
C67	M	west	C4	-3.114932284
C67	M	west	C5	-2.880665912
C67	M	west	C7	-3.550872317
C68	M	west	379	-3.455760623
C68	M	west	203	-3.47633674
C68	M	west	C2	-2.73438656
C68	M	west	C4	-2.872338162
C68	M	west	C5	-3.01147753
C68	M	west	C7	-2.933878952
