Monarch,Population,Sex,Groupnumber,Gene,LogRelexpr18S28S
FL35,east,F,1,379,-5.735719191
FL72,east,F,1,379,-6.214008744
FL74,east,F,1,379,-4.85791212
FL75,east,F,1,379,-6.139628719
FL79,east,F,1,379,-4.397748943
FL05,east,M,2,379,-6.002422603
FL11,east,M,2,379,-5.574368472
FL17,east,M,2,379,-5.628549203
FL41,east,M,2,379,-6.170613231
FL81,east,M,2,379,-2.375201315
C135,west,F,3,379,-4.9980448
C143,west,F,3,379,-5.912708123
C181,west,F,3,379,-6.096134568
C61,west,F,3,379,-6.466447355
C118,west,M,4,379,-5.391739046
C56,west,M,4,379,-5.674712139
C63,west,M,4,379,-4.775827559
C67,west,M,4,379,-6.036459685
C68,west,M,4,379,-3.455760623
FL35,east,F,5,203,-5.533046093
FL72,east,F,5,203,-6.369840739
FL74,east,F,5,203,-4.593920819
FL75,east,F,5,203,-6.30501221
FL79,east,F,5,203,-4.181319518
FL05,east,M,6,203,-6.184092593
FL11,east,M,6,203,-5.673675429
FL17,east,M,6,203,-5.858297821
FL41,east,M,6,203,-6.336171269
FL81,east,M,6,203,-2.361145463
C135,west,F,7,203,-4.661108179
C143,west,F,7,203,-6.011595553
C181,west,F,7,203,-5.961230656
C61,west,F,7,203,-6.528078288
C118,west,M,8,203,-5.681676093
C56,west,M,8,203,-5.678425865
C63,west,M,8,203,-4.821149983
C67,west,M,8,203,-6.372880893
C68,west,M,8,203,-3.47633674
FL35,east,F,9,C2,-4.797300863
FL72,east,F,9,C2,-4.725838335
FL74,east,F,9,C2,-2.652108408
FL75,east,F,9,C2,-4.835978452
FL79,east,F,9,C2,-3.013538366
FL05,east,M,10,C2,-4.942582979
FL11,east,M,10,C2,-5.380590355
FL17,east,M,10,C2,-4.670523525
FL41,east,M,10,C2,-1.866386011
FL81,east,M,10,C2,-1.863910385
C135,west,F,11,C2,-3.549622518
C143,west,F,11,C2,-3.129268379
C181,west,F,11,C2,-3.533716765
C61,west,F,11,C2,-4.015140373
C118,west,M,12,C2,-3.306776456
C56,west,M,12,C2,-1.938361607
C63,west,M,12,C2,-3.699524256
C67,west,M,12,C2,-3.815332331
C68,west,M,12,C2,-2.73438656
FL35,east,F,13,C4,-4.461948949
FL72,east,F,13,C4,-4.45900126
FL74,east,F,13,C4,-2.614835069
FL75,east,F,13,C4,-4.340078509
FL79,east,F,13,C4,-2.774676918
FL05,east,M,14,C4,-4.788668325
FL11,east,M,14,C4,-4.408680454
FL17,east,M,14,C4,-4.39558167
FL41,east,M,14,C4,-1.764884198
FL81,east,M,14,C4,-2.143275639
C135,west,F,15,C4,-3.491530955
C143,west,F,15,C4,-3.161963867
C181,west,F,15,C4,-3.021525346
C61,west,F,15,C4,-3.599654542
C118,west,M,16,C4,-3.051349462
C56,west,M,16,C4,-1.634777133
C63,west,M,16,C4,-3.497544754
C67,west,M,16,C4,-3.114932284
C68,west,M,16,C4,-2.872338162
FL35,east,F,17,C5,-4.423890721
FL72,east,F,17,C5,-4.45900126
FL74,east,F,17,C5,-2.897359019
FL75,east,F,17,C5,-4.439757335
FL79,east,F,17,C5,-3.176729679
FL05,east,M,18,C5,-4.254581157
FL11,east,M,18,C5,-4.284960591
FL17,east,M,18,C5,-4.417743068
FL41,east,M,18,C5,-2.231335005
FL81,east,M,18,C5,-2.284843933
C135,west,F,19,C5,-3.49355758
C143,west,F,19,C5,-2.919258931
C181,west,F,19,C5,-2.72913851
C61,west,F,19,C5,-3.003909645
C118,west,M,20,C5,-2.737227453
C56,west,M,20,C5,-1.544554489
C63,west,M,20,C5,-3.943897919
C67,west,M,20,C5,-2.880665912
C68,west,M,20,C5,-3.01147753
FL35,east,F,21,C7,-4.766740327
FL72,east,F,21,C7,-5.020991135
FL74,east,F,21,C7,-2.841117045
FL75,east,F,21,C7,-4.867258135
FL79,east,F,21,C7,-2.977623703
FL05,east,M,22,C7,-4.713543842
FL11,east,M,22,C7,-4.727556584
FL17,east,M,22,C7,-4.631925578
FL41,east,M,22,C7,-1.705032614
FL81,east,M,22,C7,-2.146308975
C135,west,F,23,C7,-3.808226581
C143,west,F,23,C7,-3.541278477
C181,west,F,23,C7,-3.408580139
C61,west,F,23,C7,-3.736649866
C118,west,M,24,C7,-3.67610215
C56,west,M,24,C7,-2.043918586
C63,west,M,24,C7,-3.739939639
C67,west,M,24,C7,-3.550872317
C68,west,M,24,C7,-2.933878952
